"models/w_medkit.mdl"		"models/zelda/items/heart.mdl"
"models/p_satchel.mdl"		"models/zelda/weapons/p_satchel.mdl"
"models/p_satchel_radio.mdl"	"models/zelda/weapons/p_satchel_radio.mdl"
"models/v_satchel.mdl"		"models/zelda/weapons/v_satchel.mdl"
"models/v_satchel_radio.mdl"	"models/zelda/weapons/v_satchel_radio.mdl"
"models/w_satchel.mdl"		"models/zelda/weapons/w_satchel.mdl"
"models/w_pipe_wrench.mdl"	"models/zelda/weapons/w_sword.mdl"
"models/p_pipe_wrench.mdl"	"models/zelda/weapons/p_sword.mdl"
"models/v_pipe_wrench.mdl"	"models/zelda/weapons/v_sword.mdl"
"models/w_crowbar.mdl"		"models/zelda/weapons/w_stick.mdl"
"models/p_crowbar.mdl"		"models/zelda/weapons/p_stick.mdl"
"models/v_crowbar.mdl"		"models/zelda/weapons/v_stick.mdl"
"models/v_crossbow.mdl"		"models/zelda/weapons/v_sling.mdl"
"models/p_crossbow.mdl"		"models/zelda/weapons/p_sling.mdl"
"models/w_crossbow.mdl"		"models/zelda/weapons/w_sling.mdl"
"models/crossbow_bolt.mdl"	"models/zelda/weapons/seed.mdl"
"models/w_crossbow_clip.mdl"	"models/zelda/items/seeds.mdl"
"models/baby_headcrab.mdl"	"models/zelda/enemies/jumper.mdl"
"models/pit_drone_spike.mdl"	"models/zelda/weapons/seed.mdl"

"sprites/glow01.spr"		"sprites/null.spr"
"sprites/glow02.spr"		"sprites/null.spr"
"sprites/glow03.spr"		"sprites/null.spr"
"sprites/glow04.spr"		"sprites/null.spr"
"sprites/glow05.spr"		"sprites/null.spr"

"models/p_bgrap.mdl"		"models/v_medkit.mdl"
"models/p_desert_eagle.mdl"	"models/v_medkit.mdl"
"models/p_egon.mdl"		"models/v_medkit.mdl"
"models/p_gauss.mdl"		"models/v_medkit.mdl"
"models/p_saw.mdl"		"models/v_medkit.mdl"
"models/p_2uzis.mdl"		"models/v_medkit.mdl"
"models/p_2uzis_gold.mdl"	"models/v_medkit.mdl"
"models/p_uzi.mdl"		"models/v_medkit.mdl"
"models/p_uzi_gold.mdl"		"models/v_medkit.mdl"
"models/p_rpg.mdl"		"models/v_medkit.mdl"
"models/p_rpg_r.mdl"		"models/v_medkit.mdl"
"models/p_squeak.mdl"		"models/v_medkit.mdl"
"models/p_tripmine.mdl"		"models/v_medkit.mdl"
"models/p_hgun.mdl"		"models/v_medkit.mdl"
"models/p_minigunidle.mdl"	"models/v_medkit.mdl"
"models/p_minigunspin.mdl"	"models/v_medkit.mdl"
"models/v_bgrap.mdl"		"models/v_medkit.mdl"
"models/v_desert_eagle.mdl"	"models/v_medkit.mdl"
"models/v_egon.mdl"		"models/v_medkit.mdl"
"models/v_gauss.mdl"		"models/v_medkit.mdl"
"models/v_saw.mdl"		"models/v_medkit.mdl"
"models/v_uzi.mdl"		"models/v_medkit.mdl"
"models/v_rpg.mdl"		"models/v_medkit.mdl"
"models/v_squeak.mdl"		"models/v_medkit.mdl"
"models/v_tripmine.mdl"		"models/v_medkit.mdl"
"models/v_grenade.mdl"		"models/v_medkit.mdl"
"models/v_hgun.mdl"		"models/v_medkit.mdl"
"models/v_minigun.mdl"		"models/v_medkit.mdl"
"models/w_bgrap.mdl"		"models/v_medkit.mdl"
"models/w_desert_eagle.mdl"	"models/v_medkit.mdl"
"models/w_egon.mdl"		"models/v_medkit.mdl"
