// ESHQ sentences

// ESHQ05, train tunnel lock
ESHQ05_1 deeoo train tunnel lock activated

// ESHQ08, ESSL security system
ESHQ08_1 buzwarn buzwarn invasion detected on level four

// ESHQ09, ESSL first hit
ESHQ09_1 bizwarn bizwarn warning. security system has been breached. all personnel must leave lab
ESHQ09_2 bizwarn bizwarn warning. radiation hazard. main reactor is damaged
ESHQ09_3 emergency shut down activated

// ESHQ16, power supply failure
ESHQ16_1 buzwarn buzwarn warning. explosion in maintenance sector
ESHQ16_2 bizwarn bizwarn warning. lab sector power supply malfunction. access lock activated
ESHQ16_3 bizwarn bizwarn warning. lab sector security system malfunction. access has not been blocked

// ESHQ17, secondary power supply use
ESHQ17_1 deeoo warning. lab sector secondary power supply activated. all cleanup and security personnel must go to lab sector
ESHQ17_2 common/npc_step1(v50) npc_step2(v75) npc_step3(v100) npc_step4(v130) npc_step2 npc_step2 npc_step3 npc_step1 npc_step4(v100) npc_step3(v75) npc_step1(v50) npc_step4(v25)
ESHQ17_3 bizwarn bizwarn alert. illegal heat detected in rocket silo maintenance zone
ESHQ17_4 bizwarn bizwarn alert. open fire in lab sector detected
ESHQ17_5 bizwarn bizwarn alert. lab sector call failure. danger to personnel life expected
ESHQ17_6 player/pl_metal1 pl_metal3 pl_metal4(v80) pl_metal1(v60) pl_metal2(v40) pl_metal3(v20)

// ESHQ21, rocket launch
ESHQ21_1 buzwarn buzwarn warning. forbidden life forms detected on level one
ESHQ21_2 power supply failure expected
ESHQ21_3 rocket has been activated
ESHQ21_4 bizwarn bizwarn alert. rocket hit expected. all personnel must leave base

// ESHQ32, breach
ESHQ32_1 deeoo warning. control system malfunction. communication failure detected
ESHQ32_2 deeoo alert. flooding of(p90) electric(p70)

// ESHQ40, crush
ESHQ40_1 bizwarn bizwarn alert. handling system malfunction. automatic control is down

// ESHQ41, biohazard
ESHQ41_1 bizwarn bizwarn biohazard alert. unauthorized life forms detected on level three
ESHQ41_2 security lock down activated

// ESHQ43, crush
ESHQ43_1 bizwarn bizwarn alert. system control failure. command center is inoperative
ESHQ43_2 bizwarn bizwarn high radiation alert. electromagnetic pipe is disengaged

// ESHQ58, weapon
ESHQ58_1 woop woop inoperative weapon detected in sector four

// Standart HEV suit messages (defused)
HEV_AAx ,
HEV_A0 ,

HEV_A1 ,
HEV_A2 ,
HEV_A3 ,
HEV_A4 ,
HEV_A5 ,
HEV_A6 ,
HEV_A7 ,
HEV_A8 ,
HEV_A9 ,
HEV_A10 ,

HEV_DEAD0 ,
HEV_DEAD1 ,

HEV_MED0 ,
HEV_MED1 ,
HEV_MED2 ,

HEV_HEAL0 ,
HEV_HEAL1 ,
HEV_HEAL2 ,
HEV_HEAL3 ,
HEV_HEAL4 ,
HEV_HEAL5 ,
HEV_HEAL6 ,
HEV_HEAL7 ,
HEV_HEAL8 ,

HEV_DMG0 ,
HEV_DMG1 ,
HEV_DMG2 ,
HEV_DMG3 ,
HEV_DMG4 ,
HEV_DMG5 ,
HEV_DMG6 ,
HEV_DMG7 ,

HEV_HLTH0 ,
HEV_HLTH1 ,
HEV_HLTH2 ,
HEV_HLTH3 ,
HEV_HLTH4 ,
HEV_HLTH5 ,
HEV_HLTH6 ,

HEV_SHOCK ,
HEV_FIRE ,

HEV_AIM_ON ,
HEV_AIM_OFF ,
HEV_BATTERY ,
HEV_MEDKIT ,

HEV_PISTOL ,
HEV_SHOTGUN ,
HEV_GRENADE ,
HEV_ASSAULT ,
HEV_44PISTOL ,
HEV_RPG ,
HEV_SATCHEL ,
HEV_TRIPMINE ,
HEV_HORNET ,
HEV_SQUEEK ,
HEV_EGON ,
HEV_GAUSS ,
HEV_XBOW ,

HEV_9MM ,
HEV_44AMMO ,
HEV_BUCKSHOT ,
HEV_BOLTS ,
HEV_RPGAMMO ,
HEV_AGRENADE ,
HEV_EGONPOWER ,

HEV_D00 ,
HEV_D01 ,

HEV_0P ,
HEV_1P ,
HEV_2P ,
HEV_3P ,
HEV_4P ,
HEV_5P ,
HEV_6P ,
HEV_7P ,
HEV_8P ,
HEV_9P ,
HEV_10P ,
HEV_11P ,
HEV_12P ,
HEV_13P ,
HEV_14P ,
HEV_15P ,
HEV_16P ,
HEV_17P ,
HEV_18P ,
HEV_19P ,

HEV_AMO0 ,

HEV_V0 ,
HEV_V1 ,

HEV_E0 ,
HEV_E1 ,
HEV_E2 ,
HEV_E3 ,
HEV_E4 ,
HEV_E5 ,

HEV_DET0 ,
HEV_DET1 ,
HEV_DET2 ,
HEV_DET3 ,
HEV_DET4 ,
HEV_DET5 ,

// Standart NPC messages

// Alien slave
SLV_IDLE0 aslave/slv_word1 slv_word2
SLV_IDLE1 aslave/slv_word2 slv_word3(p95)
SLV_IDLE2 aslave/slv_word3 slv_word4
SLV_IDLE3 aslave/slv_word4 slv_word5 slv_word5(p90)
SLV_IDLE4 aslave/slv_word2(p110) slv_word6 slv_word7 slv_word3
SLV_IDLE5 aslave/slv_word6 slv_word7 slv_word2
SLV_IDLE6 aslave/slv_word7 slv_word8 slv_word3
SLV_IDLE7 aslave/slv_word8 slv_word1 slv_word8 slv_word8(p95)
SLV_IDLE8 aslave/slv_word1(p115) slv_word6
SLV_IDLE9 aslave/slv_word3 slv_word3(p90)
SLV_IDLE10 aslave/slv_word7(p85)

SLV_ALERT0 aslave/(p105) slv_alert1 slv_word2
SLV_ALERT1 aslave/(p105) slv_word8 slv_word8 slv_word8 slv_word5
SLV_ALERT2 aslave/(p105) slv_alert4 slv_word4 slv_alert3
SLV_ALERT3 aslave/(p108) slv_alert1 slv_word5
SLV_ALERT4 aslave/(p108) slv_word5(p110) slv_word8 slv_word8
SLV_ALERT5 aslave/(p108) slv_alert4 slv_word7 slv_alert1

// Scientist
SC_OK0 scientist/excellentteam
SC_OK1 scientist/fellowscientist
SC_OK2 scientist/fine
SC_OK3 scientist/hopeyouknow
SC_OK4 scientist/leadtheway
SC_OK5 scientist/letsgo
SC_OK6 scientist/yesletsgo
SC_OK7 scientist/yes3
SC_OK8 scientist/alright

SC_WAIT0 scientist/beenaburden
SC_WAIT1 scientist/slowingyou
SC_WAIT2 scientist/reconsider
SC_WAIT3 scientist/whyleavehere
SC_WAIT4 scientist/illwaithere
SC_WAIT5 scientist/istay
SC_WAIT6 scientist/illwait

SC_STOP0 scientist/stop1
SC_STOP1 scientist/stop2
SC_STOP2 scientist/stop3
SC_STOP3 scientist/stop4

SC_STARE0 scientist/yees
SC_STARE1 scientist/areyouthink
SC_STARE2 scientist/noidea

SC_HELLO0 scientist/hellothere
SC_HELLO1 scientist/freemanalive
SC_HELLO2 scientist/afellowsci
SC_HELLO3 scientist/greetings2
SC_HELLO4 scientist/hello
SC_HELLO5 scientist/goodtoseeyou
SC_HELLO6 scientist/newhevsuit
SC_HELLO7 scientist/hellofromlab
SC_HELLO8 scientist/inmesstoo

SC_ANSWER0 scientist/notsure
SC_ANSWER1 scientist/notcertain
SC_ANSWER2 scientist/perhaps
SC_ANSWER3 scientist/whocansay
SC_ANSWER4 scientist/inconclusive
SC_ANSWER5 scientist/theoretically
SC_ANSWER6 scientist/whyaskme
SC_ANSWER7 scientist/lowervoice
SC_ANSWER8 scientist/ofcourse
SC_ANSWER9 scientist/absolutely
SC_ANSWER10 scientist/yes
SC_ANSWER11 scientist/ibelieveso
SC_ANSWER12 scientist/right
SC_ANSWER13 scientist/imsure
SC_ANSWER14 scientist/positively
SC_ANSWER15 scientist/nodoubt
SC_ANSWER16 scientist/yees
SC_ANSWER17 scientist/ofcoursenot
SC_ANSWER18 scientist/absolutelynot
SC_ANSWER19 scientist/noo
SC_ANSWER20 scientist/idontthinkso
SC_ANSWER21 scientist/completelywrong
SC_ANSWER22 scientist/cantbeserious
SC_ANSWER23 scientist/dontknow
SC_ANSWER24 scientist/ridiculous
SC_ANSWER25 scientist/shutup
SC_ANSWER26 scientist/noguess
SC_ANSWER27 scientist/stopasking
SC_ANSWER28 scientist/justasked
SC_ANSWER29 scientist/repeat

SC_QUESTION0 scientist/everseen
SC_QUESTION1 scientist/needsleep
SC_QUESTION2 scientist/areyouthink
SC_QUESTION3 scientist/evergetout
SC_QUESTION4 scientist/rightwayout
SC_QUESTION5 scientist/cantbeworse
SC_QUESTION6 scientist/rescueus
SC_QUESTION7 scientist/fascinating
SC_QUESTION8 scientist/stimulating
SC_QUESTION9 scientist/luckwillchange
SC_QUESTION10 scientist/hearsomething
SC_QUESTION11 scientist/doyousmell
SC_QUESTION12 scientist/uselessphd
SC_QUESTION13 scientist/waithere
SC_QUESTION14 scientist/survival
SC_QUESTION15 scientist/headcrab
SC_QUESTION16 scientist/goodpaper
SC_QUESTION17 scientist/catchone
SC_QUESTION18 scientist/dinner
SC_QUESTION19 scientist/alientrick
SC_QUESTION20 scientist/alienappeal
SC_QUESTION21 scientist/rumorclean
SC_QUESTION22 scientist/nothostile
SC_QUESTION23 scientist/announcer
SC_QUESTION24 scientist/smellburn
SC_QUESTION25 scientist/noidea
SC_QUESTION26 scientist/whatnext

SC_IDLE0 scientist/ipredictedthis
SC_IDLE1 scientist/containfail
SC_IDLE2 scientist/chaostheory
SC_IDLE3 scientist/howinteresting
SC_IDLE4 scientist/neverseen
SC_IDLE5 scientist/peculiarmarks
SC_IDLE6 scientist/whoresponsible
SC_IDLE7 scientist/nogrant
SC_IDLE8 scientist/bloodsample
SC_IDLE9 scientist/administrator
SC_IDLE10 scientist/improbable
SC_IDLE11 scientist/organicmatter
SC_IDLE12 scientist/lambdalab
