// =====================
// Poke646 Texture Types
// =====================
// 'M' Metal/Grate
// 'T' Wood/Tile
// 'G' Carpet/Grass
// 'V' Vent

v po_ventside
v po_ventsdrust

m po_shiphull
m trrm_vata
m trrm_vatb
m trrm_vatc
m trrm_vatd
m po_shiphullwin
m po_shiphullxoe
m po_cntltop
m po_cntlside
m po_cntlfrnt
m po_metalwallgre
m po_rustmtlblred
m po_mtldiagrn
m po_metlrustdia
m po_mtlalu
m po_metcraside
m po_metcraaud
m po_metlalu
m po_rustmtlbltu
m po_rustmtlbrtu
m po_rustheat
m po_metalsound
m po_metlconttop
m po_metlcontside
m po_metlcontfrnt
m po_rustmtlture
m po_rustygrtsm
m po_rustygrt
m po_contside
m po_contfront
m po_libchanrp
m po_flrbunmtl
m po_subtroutr
m po_metlgreydia
m po_mtldplrst
m po_subhndrl
m po_trashcantop
m po_trashcan
m po_subalu
m po_subaluticch
m po_po_subhndrl
m generic014h
m po_mtlltnrst
m po_mtldrkblue
m po_mtltinwll
m po_freecsbt
m po_freecsbt
m po_freecsrl

t po_crtlowmant
t po_crtlowmans
t po_wood4
t po_wood5
t po_wood
t po_woodenstep
t po_hardwdfloor
t po_floplligr
t po_crateaulogo
t po_crateside
t po_cratesilogo
t po_cratetop
t po_cratetoprop
t po_carbed
t po_cratewood
t po_cratepoket
t po_cratepokes
t po_cratepokes
t po_bookshsid
t po_flrbunker
t lab1_flr4c
t po_subtrindfl
t po_crtmsgen
t po_crtmsside
t po_crtmsfrnt
t po_subbankst1
t po_subbankst2
t po_subbankst3

g po_carpetblue
g po_carpetred
g po_sheet
g po_audtrtop
g po_audtrside
g po_audtrback
g po_orientrug
g po_billfilz
g po_grassborder
g po_grass
g po_libstairg
g po_carpetlogo
g xeno_muc1a
g xeno_2wa
g xeno_14
g xeno_14b
g po_newspaper
g po_newsside
g po_booktop
g po_bookrow
g po_bookfrnt
g po_subtrinds1
g po_subtrinds2
g po_subtrinds3
g po_htlcarpet
g po_htlcarpet
