"barney/ba_pain1.wav" ""scientist/sci_pain1.wav"
"barney/ba_pain2.wav" "scientist/sci_pain4.wav"
"barney/ba_pain3.wav" "scientist/sci_pain5.wav"
"barney/ba_die1.wav" "scientist/sci_die1.wav"
"barney/ba_die2.wav" "scientist/sci_die3.wav"
"barney/ba_die3.wav" "scientist/sci_die4.wav"
"!BA_OK0" "scientist/letsgo.wav"
"!BA_OK1" "scientist/letmehelp.wav"
"!BA_OK2" "scientist/letstrythis.wav"
"!BA_OK3" "scientist/icanhelp.wav"
"!BA_OK4" "scientist/sc_ok0.wav"
"!BA_OK5" "scientist/sc_ok3.wav"
"!BA_OK6" "scientist/sc_ok2.wav"
"!BA_WAIT0" "scientist/istay.wav"
"!BA_WAIT1" "scientist/illwaithere.wav"
"!BA_WAIT2" "scientist/illwait.wav"
"!BA_WAIT3" "scientist/reconsider.wav"
"!BA_WAIT4" "scientist/safetyinnumbers.wav"
"!BA_WAIT5" "scientist/stop4.wav"
"!BA_HELLO0" "scientist/sc_hello2.wav"
"!BA_HELLO1" "scientist/sc_hello5.wav"
"!BA_HELLO2" "scientist/whoareyou.wav"
"!BA_HELLO3" "scientist/inmesstoo.wav"
"!BA_HELLO4" "scientist/saved.wav"
"!BA_HELLO5" "scientist/corporal.wav"
"!BA_HELLO6" "scientist/fix.wav"
"!BA_QUESTION0" "scientist/catchone.wav"
"!BA_QUESTION1" "scientist/crowbar.wav"
"!BA_QUESTION2" "scientist/didyouhear.wav"
"!BA_QUESTION3" "scientist/donuteater.wav"
"!BA_QUESTION4" "scientist/doyousmell.wav"
"!BA_QUESTION5" "scientist/fascinating.wav"
"!BA_QUESTION6" "scientist/headcrab.wav"
"!BA_QUESTION7" "scientist/hearsomething.wav"
"!BA_QUESTION8" "scientist/hungryyet.wav"
"!BA_QUESTION9" "scientist/koso.wav"
"!BA_QUESTION10" "scientist/odorfromyou.wav"
"!BA_QUESTION11" "scientist/seencup.wav"
"!BA_QUESTION12" "scientist/smellburn.wav"
"!BA_QUESTION13" "scientist/stench.wav"
"!BA_QUESTION14" "scientist/stimulating.wav"
"!BA_ANSWER0" "scientist/lowervoice.wav"
"!BA_ANSWER1" "scientist/nogrant.wav"
"!BA_ANSWER2" "scientist/noguess.wav"
"!BA_ANSWER3" "scientist/noidea.wav"
"!BA_ANSWER4" "scientist/noo.wav"
