
//nhilanth/nil_win.wav
//nhilanth/nil_done.wav
//nhilanth/nil_thelast.wav
//nhilanth/nil_die.wav



//버그나 기타 의견 리포트는, 그리고 다운로드는 toxagen5@hotmail.com (chat only)나 irc #map 및 #modmaker 또는 #kgda 체널에서 받아서 할수 있습니다.


//LK01_SC_HELLO2 이상물질 오셧. 기억나는군요


//07.07~08.01 라디에이션 스투디오 파이널 버전 패치.


//공지//

//<< 읽어주세요!! >> :: 맵 테스트를 하면서 몇몇 (예를들어 다수의 몬스터가 얽힌 교전이나 특정 상황에서 몬스터 생성시) 돌발 상황에 엔진 클라이언트에서 오류를 종종 일으킨바 있습니다.

//따라서 본 프로그램이 설치되어짐으로서 빚어지는 자료 손실등과 같은 사항에 대하여 radiation- studios는 귀하의 하드웨어에 설치를 권장하지 않습니다.




//현제 거의 모든 돌발상황을 제거한바 있지만 아래 보고된 맵에서는 돌발행동 자제를 당부합니다.

//pk03.bsp

//pk04.bsp


//LK01_BA_HURRY
//이리로 들어와요 빨리!


//좀 큰 표본실 위에 어쌔신 결박당한채 놓여짐 (남1여2)머리에 기생
//LK01_SC_WARNED1 (박사2)
//이사람들은 경고를 무시했을까
//LK01_SC_WARNED2 (박사3)
//우리가 경고를 했는데도 말이야.

//SC_QUESTION15
//이 게과 생명체들은 독특한 기생

//SC_QUESTION18
//정말 모든 생명체들이 우릴 잡아먹으려 왔다고 주장하는

//불스퀴드 대형 우리로 감. 예의상 퀴드 한번 유리쪽으로 쏴줌. 그럼에도 박사 문 비밀번호 댐.

//BA_SHOT3
//뭘하려는거야?

//(불스퀴드등장)
//SC_QUESTION22
//외계인 모두가 적대적인건 아닐거야

//SC_PQUEST15
//배고픈사람?(불스퀴드 밥주고)

//BA_ANSWER7
//내게 묻지마셔.

//LK01_SC_USSEE
//자네가 봐야할게 있어.

//연구돔 진입_박사랑 슬레이브랑 대화중 (박사 한명은 주저앉음. dk01처럼)

//SC_IDLE0
//난 이모든걸 예상했었어

//SC_QUESTION6
//분명히 누군가 와서 구해주겠지

//SC_QUESTION9(박사2)
//우리 운도 바뀔거 같지 않나

//SC_ANSWER8
//물론이지

//SC_IDLE12 
//람다 사람들이 이 모든걸 통제할수 있길 바라네(박사2)

//다시 표본실로

//SC_NOGO 
//그쪽으로 가지마

//SC_PLFEAR0
//세상에 자네 뭐하고 있는거야

//LK01_SC_ALLDIE
//맙소사 우리 모두 죽었어.

//LK01_BA_GLOCK
//내가 낡은무기라도 가지고 있어서 다행

//LK01_BA_STAY
//난 여기 남겠소 수상한게 나오면 쏠것이오


OK01_SC_WHOARE scientist/whoareyou
OK01_SCI_SPK0 scientist/protectme
OK01_SCI_SPK1 scientist/c3a2_sci_1glu

DK01_SCI_SPK0 scientist/dk01_sci_talk
DK01_SCI_SPK1 scientist/c2a4_sci_letout
DK01_SCI_SPK3 scientist/gottogetout
DK01_BA_SPK0 barney/ba_openfire

DK02_BA_ELE0 barney/c1a2_ba_climb
DK02_DOUTSPK barney/c2a4_ba_alive
DK02_BA_ARG0 barney/c1a4_ba_octo1
DK03_BA_ARG5 barney/c2a4_ba_arg5a
DK02_BA_ARG6 barney/c1a4_ba_octo3

DK03_BA_ARG1 barney/c2a4_ba_arg1a
DK03_SC_ARG2 scientist/c2a4_sci_arg2a
DK03_BA_ARG3 barney/c2a4_ba_arg3a
DK03_SC_ARG4 scientist/c2a4_sci_arg4a

LK00_SC_WAYTALK scientist/c2a5_sci_lebuz
LK00_SC_RESC scientist/c1a3_sci_atlast
LK00_SC_1MAN scientist/c1a3_sci_1man
LK00_SC_DEADTALK scientist/c2a4_sci_alldie
LK01_SC_GATE scientist/letyouin
LK01_SC_WARNED1 scientist/c1a1_sci_1scan
LK01_SC_WARNED2 scientist/c1a1_sci_2scan
LK01_SC_USSEE scientist/ushouldsee
LK01_SC_ALLDIE scientist/c1a3_sci_silo2a
LK01_BA_HURRY barney/c2a4_ba_steril
LK01_BA_STAY1 barney/c3a2_ba_stay
LK01_BA_GLOCK barney/gladof38
LK01_BA_TEACH barney/c2a4_ba_teach
LK01_BA_EXIT barney/rightway
LK01_SC_HELLO2 scientist/hellofromlab
LK01_SC_HELLO3 scientist/hello2

LK03_SC_SPK1 scientist/c1a0_sci_lock8a
LK03_SC_SPK2 scientist/c1a1_sci_3scan



//SC_PIDLE7
LK04_BA_EXIT1 barney/c3a2_ba_2surv
LK04_SC_EXIT2 scientist/okihope
//BA_ATTACK0

//teleport1

LK04_GM_TALK1 gman/gman_choose1
LK04_GM_TALK2 gman/gman_choose2

//BA_ANSWER16
LK04_BA_EXIT3 barney/c3a1_ba_5sat
//SC_QUESTION6

//teleport2
//moveie

LK04_HG_TALK1 hgrunt/c2a3_hg_2drag
LK04_HG_TALK2 hgrunt/c2a3_hg_laugh

//load




//SC_ANSWER22 고사하고 이런걸...
//SC_PQUEST6 읽을거리를..
//SC_PIDLE7 작동중지 차트를 어디에
//SC_PQUEST1 상황보고서를 제출
//SC_ANSWER27 그 질문좀 그만하지


LK04_SC_HERE scientist/c3a2_sci_1glu


PK00_OT_TALK otis/talkmuch
PK01_BA_WOUND barney/c2a1_ba_hub2a
PK01_BA_WAIT barney/waitin
